,Month,species,Colony,temp,PR,PhotosyntheticCapacity,Monthly_GSR
1,8,GALA,1,28.0380625,4.375,0.557,532.66
2,8,GALA,2,28.0380625,3.851851852,0.54,532.66
3,8,GALA,3,28.0380625,3.239130435,0.535,532.66
4,8,ACRO,1,28.0380625,3.977272727,0.672,532.66
5,8,ACRO,2,28.0380625,6,0.667,532.66
6,8,ACRO,3,28.0380625,4.641791045,0.674,532.66
7,8,MONT,1,28.0380625,1.085561497,0.578,532.66
8,8,MONT,2,28.0380625,1.112582781,0.563,532.66
9,8,MONT,3,28.0380625,1.261538462,0.553,532.66
10,8,OULA,1,28.0380625,4.133333333,0.643,532.66
11,8,OULA,2,28.0380625,4.275862069,0.577,532.66
12,8,OULA,3,28.0380625,6.615384615,0.601,532.66
13,8,POR,1,28.0380625,3.5,0.626,532.66
14,8,POR,2,28.0380625,5,0.622,532.66
15,8,POR,3,28.0380625,4.931034483,0.618,532.66
16,8,GALA,1,28.0380625,2.648148148,0.596,532.66
17,8,GALA,2,28.0380625,3.508196721,0.603,532.66
18,8,GALA,3,28.0380625,3.065217391,0.475,532.66
19,8,ACRO,1,28.0380625,4.071428571,0.674,532.66
20,8,ACRO,2,28.0380625,4.52173913,0.685,532.66
21,8,ACRO,3,28.0380625,2.436619718,0.682,532.66
22,8,MONT,1,28.0380625,0.929824561,0.574,532.66
23,8,MONT,2,28.0380625,1.14084507,0.562,532.66
24,8,MONT,3,28.0380625,1.433962264,0.559,532.66
25,8,OULA,1,28.0380625,5.25,0.626,532.66
26,8,OULA,2,28.0380625,3.903225806,0.594,532.66
27,8,OULA,3,28.0380625,5.875,0.58,532.66
28,8,POR,1,28.0380625,4.333333333,0.623,532.66
29,8,POR,2,28.0380625,5.227272727,0.617,532.66
30,8,POR,3,28.0380625,4.194444444,0.614,532.66
31,8,GALA,1,28.0380625,2.456140351,0.557,532.66
32,8,GALA,2,28.0380625,3.262295082,0.594,532.66
33,8,GALA,3,28.0380625,2.526315789,0.494,532.66
34,8,ACRO,1,28.0380625,4.486486486,0.668,532.66
35,8,ACRO,2,28.0380625,4.967213115,0.689,532.66
36,8,ACRO,3,28.0380625,2.716666667,0.691,532.66
37,8,MONT,1,28.0380625,1.184210526,0.584,532.66
38,8,MONT,2,28.0380625,1.323232323,0.57,532.66
39,8,MONT,3,28.0380625,1.738461538,0.556,532.66
40,8,OULA,1,28.0380625,5.909090909,0.625,532.66
